Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
long-sleeved-bodysuit-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/7e/dd/7edde0e566fe323767668167e4a0d069e45a502f.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
5-pack-anti-slip-terry-socks-mantri-mall,5-pack anti-slip terry socks,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,004,,,,,,,shopify,1000.0,deny,manual,749.00,,,,,https://image.hm.com/assets/hm/84/a6/84a69a28fc9957ad982fb328d76a102d2d61bc62.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
5-pack-anti-slip-terry-socks-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/93/c6/93c65e6760b659ba6b7b738a34fb3e849f62d107.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
5-pack-anti-slip-terry-socks-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/30/69/3069493aac0a16c6f6571576b36ac0661d03a8ab.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
velour-sleepsuit-with-full-feet-mantri-mall,Velour sleepsuit with full feet,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,019,,,,,,,shopify,1000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/76/27/7627a4a5f1a8726bf9c80907dd74ac629eb0fa8b.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
velour-sleepsuit-with-full-feet-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/e0/6d/e06dc33426ac97b875295603f2eea161244df33e.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-piece-motif-detail-set-mantri-mall,2-piece motif-detail set,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,008,,,,,,,shopify,2000.0,deny,manual,1279.00,,,,,https://image.hm.com/assets/hm/67/2d/672de3c728b0c8a67790ae0b480754544ceb7d66.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-piece-motif-detail-set-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/55/63/55632d10ee1977b28d28b1da2a11234107c8f8b2.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-piece-motif-detail-set-prestige-falcon-city,2-piece motif-detail set,,,Clothing,,"Clothing, baby, Prestige Falcon city",TRUE,Size,005,,,,,,,shopify,1000.0,deny,manual,1279.00,,,,,https://image.hm.com/assets/hm/67/2d/672de3c728b0c8a67790ae0b480754544ceb7d66.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-piece-motif-detail-set-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/55/63/55632d10ee1977b28d28b1da2a11234107c8f8b2.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-tights-mantri-mall,2-pack tights,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,006,,,,,,,shopify,1000.0,deny,manual,374.50,,,,,https://image.hm.com/assets/hm/16/70/16706f7c372b508d614e35ba05485884e6107937.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-tights-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/ef/1c/ef1ca7b1a76f624e2a935aec78d85cf01710e9dc.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,2-pack cotton sweatshirts,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,004,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/99/dc/99dce0679a6d37f9df026a82e732f05974baa070.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,005,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/52/8e/528ee330ebed205c3e3d714f137853c4c8b525f6.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,006,,,,,,,shopify,2000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,007,,,,,,,shopify,2000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,008,,,,,,,shopify,4000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,009,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
