Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
1213504003-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d9/c3/d9c31afdb7f877cfe10e3e5fd20e72f2177c2219.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1213504003-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/88/a4/88a4ac8d040a9ea198453eb92a51131124f78231.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1213504003-prestige-falcon-city,Iridescent backpack with appliqués,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/6f/3f/6f3fd05d51caeb345361a472a9ab0859fc3e797f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1213504003-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d9/c3/d9c31afdb7f877cfe10e3e5fd20e72f2177c2219.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1213504003-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/88/a4/88a4ac8d040a9ea198453eb92a51131124f78231.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-1mg-mall,Appliquéd backpack,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,5000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/3a/cc/3acc4068acde8538e0f2a987eb2b1990e56b25a4.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1229119001-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/33/39/33390294408a02c7d2312aefa58792f64f429bf7.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/46/fc/46fc6527db61bd78a18234dd042978cf93824594.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/0e/0a/0e0ade580528d73496d545a72b83c2c67c908b6a.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-mantri-mall,Appliquéd backpack,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,4000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/3a/cc/3acc4068acde8538e0f2a987eb2b1990e56b25a4.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1229119001-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/33/39/33390294408a02c7d2312aefa58792f64f429bf7.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/46/fc/46fc6527db61bd78a18234dd042978cf93824594.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/0e/0a/0e0ade580528d73496d545a72b83c2c67c908b6a.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-prestige-falcon-city,Appliquéd backpack,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/3a/cc/3acc4068acde8538e0f2a987eb2b1990e56b25a4.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1229119001-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/33/39/33390294408a02c7d2312aefa58792f64f429bf7.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/46/fc/46fc6527db61bd78a18234dd042978cf93824594.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1229119001-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/0e/0a/0e0ade580528d73496d545a72b83c2c67c908b6a.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
